,Track name,Track id
81,Banjaara,4eFnk661RcdOuH9ajiTO3j
82,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2Fv2injs4qAm8mJBGaxVKU
83,"Bekhayali (From ""Kabir Singh"")",1feANd8EfcDP5UqSvbheM3
84,Soch Na Sake,6mTvwBzWTGDOVeCNQEqtOE
85,Aa Zara,0MoRzKAl00iGQVOfUhmAUJ
86,Hawa Banke,1L3Nsi7YXtBxTdnbqektia
87,Channa,03TkoJA692GayJ4seZUX4O
88,Kalank - Title Track,7G5wpuR61ABrT7R1snos7C
89,Socha Nahi,3Wu1fRT9bzFPeXyMIfJycb
90,"Phir Mohabbat (From ""Murder 2"")",4RCd3Gdtt3dNedof64hqRD
91,Jhol,4XTgFBxBHN6var1BzAgE1m
92,Ojhal,5SXMURHNvgG2GzdkBqFCEw
93,Galliyan,3ySVdXje5nm31d7vL3jNV3
94,Naina,7w5Je2ouh5Zxp5nfaGitvy
95,Die With A Smile,2plbrEY59IikOBgBGLjaoe
96,"Thodi Jagah (From ""Marjaavaan"")",3f0wz6zcA7XkQiGm0qNF5r
97,Stay,5qMKcWk6Lcuz0t3R9Ed1NO
98,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw
99,Choo Lo,0rlLBWFFTQiOWi963SH9bb
100,"Ishq Mein (From ""Nadaaniyan"")",4jigZPtP8wuNy2vnQw7dUn
101,Mujhe Peene Do,3FbZoPzEaUBOD84l1FwFEH
102,Beeti Baatien,6REYDIIE9ilzrOQf48za3h
103,Judaai,2MsGTWvf7dcjKbI0WTq6Pz
104,Top G,0lZkllHCEw17P8ZHKIRXk1
105,Zara Sa,18YHbIhrleUkKKj2DvEp79
106,Lor Lor,0UVcAOt6NMxYQ24zD66XKk
107,Bin Tere,3bZPdEskcnMdepwCaDSJRl
108,Mitwa,4BTPzhEsyW3blWcxcuhLM0
109,Pal,5G7pZ8G8NFvS1MQ9H4L7dC
110,Noor E Khuda,55fSZWdcvMPJga3LbiV8jN
111,If You Ask Me,679w0ZQoje7bGPUu8LqMNc
112,"Tera Ban Jaunga (From ""Kabir Singh"")",4OcvkkpF3xmyCGGY5IBlgi
113,Espresso,2qSkIjg1o9h3YT9RAgYN75
114,Channa Mereya,0H2iJVgorRR0ZFgRqGUjUM
115,O Re Piya,7cWnks0lsRtpAi87COOiXK
116,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA
